Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
cdl.uci,UC Irvine (cdl.uci),0.00,0.05,0.00,0.00,0.01
ualberta.library,University of Alberta Library (ualberta.library),0.04,0.02,0.01,0.04,0.01
carl.frdr,Federated Research Data Repository (carl.frdr),0.02,0.01,0.03,0.03,0.01
tib.oparu,"Universität Ulm, Kommunikations- und Informationszentrum (kiz) (tib.oparu)",0.05,0.00,0.00,0.01,0.01
estdoi.epank,Eesti Pank. Bank of Estonia (estdoi.epank),0.00,0.04,0.00,0.00,0.01
cbg.datasets,Barcode of Life Data Systems (cbg.datasets),0.06,0.04,0.00,0.00,0.01
sml.talkbank,TalkBank (sml.talkbank),0.07,0.04,0.00,0.00,0.01
tib.baua-doi,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin (BAuA) (tib.baua-doi),0.00,0.03,0.00,0.00,0.01
tdl.griidc,GRIIDC (tdl.griidc),0.00,0.00,0.03,0.00,0.01
bl.lancs,University of Lancaster (bl.lancs),0.04,0.02,0.01,0.00,0.01
dans.archive,DANS Data Stations (dans.archive),0.01,0.05,0.07,0.00,0.01
wwpx.intr2,IntRechtDok (wwpx.intr2),0.01,0.02,0.00,0.00,0.01
cern.hepdata,HEPData (cern.hepdata),0.03,0.00,0.00,0.00,0.01
crui.uniss,Università degli Studi di Sassari (crui.uniss),0.01,0.01,0.00,0.00,0.01
inist.sbr,Station Biologique de Roscoff (inist.sbr),0.02,0.00,0.00,0.00,0.01
tib.awi,Alfred Wegener Institute (tib.awi),0.03,0.00,0.00,0.00,0.01
tib.tum,TU München - Informatik (tib.tum),0.01,0.01,0.00,0.00,0.01
cul.r2r,Rolling Deck to Repository (cul.r2r),0.04,0.03,0.01,0.00,0.01
vzek.pretest,GESIS Pretest Database (vzek.pretest),0.00,0.01,0.02,0.00,0.00
inist.ill,Institut Laue-Langevin (inist.ill),0.00,0.01,0.00,0.00,0.00
rg.rg,ResearchGate (rg.rg),0.00,0.01,0.00,0.00,0.00
esdis.eosdis,Earth Observing System Data and Information System (esdis.eosdis),0.00,0.01,0.00,0.00,0.00
rewo.axiom,Axiom Data Science (rewo.axiom),0.00,0.01,0.00,0.00,0.00
gbif.gbif,Global Biodiversity Information Facility (gbif.gbif),0.00,0.00,0.00,0.00,0.00
crui.unitelma,Università degli Studi di Roma “Unitelma Sapienza” (crui.unitelma),0.00,0.00,0.00,0.00,0.00
ethz.epics-ad,E-Pics Alte und Seltene Drucke (ethz.epics-ad),0.00,0.00,0.00,0.00,0.00
ethz.epics-ba,E-Pics Bildarchiv (ethz.epics-ba),0.00,0.00,0.00,0.00,0.00
ethz.epics-st,"E-Pics 6, Sternwarte (ethz.epics-st)",0.00,0.00,0.00,0.00,0.00
ethz.ma,ModelArchive SIB (ethz.ma),0.00,0.00,0.00,0.00,0.00
wisc.bmrb,Biological Magnetic Resonance Bank (wisc.bmrb),0.00,0.00,0.00,0.00,0.00
ethz.epics-ki,"E-Pics 5, Kunstinventar (ethz.epics-ki)",0.00,0.00,0.00,0.00,0.00
mtakik.alkpsich,Alkalmazott Pszichológia (mtakik.alkpsich),0.00,0.00,0.00,0.00,0.00
zbmed.dsmz,BacDive (zbmed.dsmz),0.00,0.00,0.00,0.00,0.00
