Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
ardcx.usyd,University of Sydney Library (ardcx.usyd),0.09,0.36,0.05,0.06,0.13
inist.ird,IRD (inist.ird),0.19,0.16,0.11,0.01,0.13
uniwa.repo,The University of Western Australia (uniwa.repo),0.01,0.43,0.00,0.00,0.13
swin.repo2,Swinburne University of Technology (swin.repo2),0.16,0.20,0.09,0.07,0.13
noaa.ncei,National Oceanic and Atmospheric Administration (NOAA) National Centers for Environmental Information (NCEI) (noaa.ncei),0.12,0.32,0.03,0.05,0.13
ethz.iumspdat,Unisanté: Data (ethz.iumspdat),0.10,0.38,0.11,0.01,0.12
uutah.marriott,J. Willard Marriott Library (uutah.marriott),0.17,0.25,0.10,0.01,0.12
bl.abdn,University of Aberdeen (bl.abdn),0.22,0.28,0.18,0.11,0.12
doe.lbnl,DOE Lawrence Berkeley National Laboratory (LBNL) Repository (doe.lbnl),0.24,0.26,0.01,0.00,0.12
bl.herts,University of Hertfordshire Research Archive (bl.herts),0.19,0.10,0.12,0.10,0.12
bl.qmul,Queen Mary University of London (bl.qmul),0.07,0.38,0.01,0.03,0.12
asu.tdar,The Digital Archeological Record (tDAR) (asu.tdar),0.19,0.25,0.05,0.00,0.12
gesis.ubve,University Library Vechta (gesis.ubve),0.05,0.30,0.11,0.10,0.12
ardcx.wsu,Western Sydney University ResearchDirect (ardcx.wsu),0.10,0.35,0.01,0.01,0.12
wisc.libraries,University of Wisconsin-Madison Libraries (wisc.libraries),0.13,0.30,0.00,0.00,0.12
bl.qub,Queen's University Belfast Research Portal (bl.qub),0.11,0.26,0.18,0.24,0.12
bl.cefas,Cefas (bl.cefas),0.15,0.23,0.06,0.09,0.12
spbpu.engstroy,Magazine of Civil Engineering (spbpu.engstroy),0.26,0.14,0.05,0.00,0.12
jamstec.jamstec,Repository for Japan Agency for Marine-Earth Science and Technology (jamstec.jamstec),0.07,0.30,0.11,0.10,0.12
hab.zfdg,ZFDG (hab.zfdg),0.16,0.29,0.10,0.09,0.12
ardcx.ecu,Edith Cowan University (ardcx.ecu),0.13,0.38,0.09,0.03,0.12
usgs.prod,USGS DOI Tool Production Environment (usgs.prod),0.09,0.20,0.10,0.10,0.12
delft.hva,Hogeschool van Amsterdam (delft.hva),0.13,0.29,0.03,0.00,0.12
bl.cardiff,Cardiff University (bl.cardiff),0.07,0.30,0.06,0.10,0.12
tib.ubp,Universitätsbibliothek Passau (tib.ubp),0.10,0.26,0.09,0.10,0.12
caltech.data,CaltechDATA (caltech.data),0.20,0.11,0.13,0.17,0.12
cornell.library,Cornell University Library (cornell.library),0.07,0.32,0.01,0.02,0.12
