Repository Name,Repository_ID
Infectious Diseases Data Observatory,ylyl.iddo
University of Brighton,bl.brighton
UAL Research Online,lbec.dilhot
British Library Labs,bl.labs
Aberystwyth Research Portal,bl.aber
Emergency Nutrition Network,lrfs.enn
Sheffield Hallam University,bl.hallam
Houghton St Press,lcqr.plmezb
Nottingham Trent University,bl.ntu
Marine Institute,bl.marineie
Liverpool School of Tropical Medicine Archive,faoq.lstm-archive
National Library of Scotland,bl.nls
Dementias Platform UK,xwpv.qbqbok
National Trust Research Repository,ytfd.nationaltrust
Journals@RGU,ukev.open-journals
ROR Registry and Hub,hxhf.leuvzx
ForestPlots.net,lxkc.dskyfi
Leaf Journal,ygyi.igexwb
Vestiges,ylyl.vestiges
British Journal of Community Justice,cmuu.bjcj
Abertay Datasets,avqt.hxlqvd
Emptiness,ylyl.emptiness
ESC Publications,kbtn.esc
Leeds Medieval Studies Journal,lxkc.gszjaz
Worktribe,mhki.eiftri
Proceedings of the Lancaster University Education Conference,ygyi.wwxjnd
National Museums Scotland,bl.rep-nms
Camtree: the Cambridge Teacher Research Education,pcgi.camtree
Coventry University Data Repository,ipyx.hvvrmz
University of Huddersfield,bl.huddersfield
Health Data Research Global,puzp.sqpdqc
Norland Educare Research Journal,eycg.norland
Riffs,icjg.ynrfke
Centre for Agriculture and Bioscience International (CABI),bl.cabi
British Museum,ytfd.bm
PKRxiv,pxwo.pkrxiv
Cambium,ylyl.bndu
Public Health England,bl.phe
RCA Research Repository,otgk.rep1
Pure Output Records,vhfs.pureor
MOLA,ytfd.mola
Journal of Scholarship and Innovation in Management Education,ygyi.rsoowr
World Happiness Report,ylyl.gcplmm
The Journal of Practice Theory,ygyi.ppljww
HASP,lxkc.dkwysw
Middlesex University Research Repository,zttd.pvwyco
University of Stirling,bl.stirling
University of Manchester (Pure),borq.00003
Manchester Region History Review,cmuu.mrhr
National Library of Scotland Research Repository,ytfd.uptwra
The Hive Journal,cmuu.hive
Bureau de Change Laboratory,ygyi.rvjhox
Web Archive Programme at BL,bl.wap
Drug Delivery to the Lungs Conference,nvty.ddl2022
Tate Research Repository,ytfd.igmlha
Kingston University repository,bdeb.pure
Helix,urks.helix
St Antony's International Review,ylyl.stair
Historic Royal Palaces,ytfd.qshyae
Oxford Comparative Criticism and Translation,ylyl.occt
Health Data Research Innovation Gateway,puzp.gpqfmm
Central Lancashire Online Knowledge,zavk.uclan
Curtain,qxco.curtain
LAEL PG,ygyi.vvdldg
AIFdb,qxco.aifdb
University of Southampton Press,hxhf.ccowqn
NHSDMetastore,uxlw.gxuchx
Joint Nature Conservation Committee,bl.jncc
Makings,icjg.lhdokr
IRIS Database,skmf.rpqfco-iris
UC Santa Barbara,cdl.ucsb
UC San Diego,cdl.ucsd
UC Los Angeles,cdl.ucla
California Digital Library,cdl.cdl
UC Berkeley,cdl.ucb
UC Irvine,cdl.uci
UC Davis,cdl.ucd
UC Santa Cruz,cdl.ucsc
UC Riverside,cdl.ucr
UC San Francisco,cdl.ucsf
UC Merced,cdl.ucm
Archaeological Map of the Czech Republic,arch.avanjj
Archaeological Map of the Czech Republic - IGSN Catalog,arch.igsn
ASEP,igeg.asep
Institutional Repository of NTK,ntk.idr
Narodni Repozitar,kdby.damqif
European Vegetation Archive,gcnc.tlueni
World Spider Trait Database,gcnc.fkwtdu
VSUO VPO,vsuo.gvsakw
CPM-pilot,gcnc.lfzaox
Národní archiv.PH,nacr.ph
Studia Musei Pragensis,muzprahy.mafnao
VSUO met,vsuo.itgumz
ESF MU,muni.pazodj
NPMK,npmk.hbnfeh
Molecular Biophysics Database,biot.mbdb
"Institute of Physics of the Earth, Faculty of Science, Masaryk University",gcnc.ciivsh
Palacký University Open Portal,upol.tpupcx
CERIT-SC,gcnc.nawmpy
National Repository for Documents - Community for EOSC CZ,ntkp.nrdocs-eosccz
Projectiles,gcnc.ghgvvx
GGP – Contemporary Czech Family,gcnc.cblitf
Multimodal and Functional Imaging Laboratory,gcnc.cclsvn
CESNET Organizační DOI,kdby.stkmdn
KIT,czu.nbjjgg
CSIRT-MU,gcnc.eiflyh
"Digital Culture, Faculty of Arts, Masaryk University",gcnc.yqqcuw
CEITEC MU Biological Data Management and Analysis Core Facility,gcnc.wibtmh
Vědecké výstupy,ioo.tsfpp
Revista de Salud Comunitaria,uandes.etjeio
Research Data Repository,uandes.rdr
Radar electoral. La campaña presidencial en redes sociales,uandes.rael
Platforms,ghva.kaxnum
Documents,ghva.hhjzpy
IDS Text- und Sprachdaten-Repositorium,ids.hkhuqq
CLARIN-ERIC,clarin.clarin
Clariah-EUS,hitz.ozbohl
Repositório 1 da Fiocruz,fiocruz.gvqdwx
Redape - Repositório de Dados de Pesquisa da Embrapa,embrapa.frdsij
